,complaint_id,date_received,district_occurrence,general_cap_classification,summary,date_of_complaint,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,num_complaint_rows,complaint_key,sustained_investigative_finding,guilty_disciplinary_finding,training_counseling_or_guilty_disciplinary_finding,complainant_sex,complainant_race,complainant_age
32,15-0010,2015-01-09,600, UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-1-15 at 11:00pm, they were verbally abused by unknown officers from the 6th District and issued a parking citation.",2015-01-01,95949708.0,black,male,0600 06TH DISTRICT,Verbal Abuse,1,"15-0010,95949708.0,Verbal Abuse",False,False,False,female,white,33.0
33,15-0011,2015-01-09,300, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-1-15 at 3:30am, they were falsely arrested for domestic assault by officers from the 3rd District.",2015-01-01,95869027.0,white,female,0300 03RD DISTRICT,Departmental Violation,1,"15-0011,95869027.0,Departmental Violation",False,False,False,male,latino,40.0
34,15-0011,2015-01-09,300, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-1-15 at 3:30am, they were falsely arrested for domestic assault by officers from the 3rd District.",2015-01-01,57627336.0,white,female,0300 03RD DISTRICT,Departmental Violation,1,"15-0011,57627336.0,Departmental Violation",False,False,False,male,latino,40.0
35,15-0012,2015-01-09,1800, SEXUAL CRIME/MISCONDUCT,"According to the complainant, since November 2014, a detective, assigned to Northwest Detectives, has harassed them on multiple occasions and made a sexual advance towards them, which they refused. This incident occurred in the confines of the 18th District.",,56961633.0,white,male,6600 NORTHWEST DETECTIVE,Sexual Crime/Misconduct,1,"15-0012,56961633.0,Sexual Crime/Misconduct",False,False,False,female,black,30.0
37,15-0013,2015-01-12,1400, LACK OF SERVICE,"According to the complainant, on 1-3-15 at 5:10pm, they did not receive proper service from 14th District officers.",2015-01-03,66761438.0,black,female,1400 14TH DISTRICT,Lack of Service,1,"15-0013,66761438.0,Lack of Service",True,False,False,male,black,82.0
38,15-0013,2015-01-12,1400, LACK OF SERVICE,"According to the complainant, on 1-3-15 at 5:10pm, they did not receive proper service from 14th District officers.",2015-01-03,74065973.0,white,male,1400 14TH DISTRICT,Lack of Service,1,"15-0013,74065973.0,Lack of Service",False,False,False,male,black,82.0
39,15-0013,2015-01-12,1400, LACK OF SERVICE,"According to the complainant, on 1-3-15 at 5:10pm, they did not receive proper service from 14th District officers.",2015-01-03,14171945.0,black,female,1400 14TH DISTRICT,Lack of Service,1,"15-0013,14171945.0,Lack of Service",False,False,False,male,black,82.0
40,15-0014,2015-01-27,1800, LACK OF SERVICE,"According to the complainant, on 1-13-15 at 10:13pm, they did not receive proper service from officers in the 18th District officers.",2015-01-13,89823114.0,white,male,1800 18TH DISTRICT,Lack of Service,1,"15-0014,89823114.0,Lack of Service",False,False,False,female,black,31.0
41,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",,83925516.0,black,male,0600 06TH DISTRICT,Departmental Violation,1,"15-0015,83925516.0,Departmental Violation",False,False,False,male,black,26.0
42,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",,83925516.0,black,male,0600 06TH DISTRICT,Physical Abuse,1,"15-0015,83925516.0,Physical Abuse",False,False,False,male,black,26.0
45,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",,32980195.0,white,male,0600 06TH DISTRICT,Departmental Violation,1,"15-0015,32980195.0,Departmental Violation",False,False,False,male,black,26.0
47,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",,32980195.0,white,male,0600 06TH DISTRICT,Physical Abuse,1,"15-0015,32980195.0,Physical Abuse",False,False,False,male,black,26.0
48,15-0016,2015-01-20,3500, VERBAL ABUSE,"According to the complainant, on 1-13-15, around 8:00pm, they were verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of the 35th District.",2015-01-13,90465471.0,white,male,5300 HIGHWAY PATROL,Departmental Violation,1,"15-0016,90465471.0,Departmental Violation",False,False,False,male,black,25.0
49,15-0016,2015-01-20,3500, VERBAL ABUSE,"According to the complainant, on 1-13-15, around 8:00pm, they were verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of the 35th District.",2015-01-13,49873735.0,white,male,5300 HIGHWAY PATROL,Verbal Abuse,1,"15-0016,49873735.0,Verbal Abuse",False,False,False,male,black,25.0
50,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,55577699.0,black,male,4601 S.W.A.T.,Departmental Violation,1,"15-0017,55577699.0,Departmental Violation",False,False,False,male,black,65.0
51,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,78089029.0,latino,male,4601 S.W.A.T.,Departmental Violation,1,"15-0017,78089029.0,Departmental Violation",False,False,False,male,black,65.0
52,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,19325563.0,asian,male,4601 S.W.A.T.,Departmental Violation,1,"15-0017,19325563.0,Departmental Violation",False,False,False,male,black,65.0
53,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,84672586.0,black,male,4601 S.W.A.T.,Departmental Violation,2,"15-0017,84672586.0,Departmental Violation",True,False,True,male,black,65.0
54,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,52845193.0,white,male,4601 S.W.A.T.,Departmental Violation,1,"15-0017,52845193.0,Departmental Violation",False,False,False,male,black,65.0
55,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,29247247.0,white,female,4601 S.W.A.T.,Departmental Violation,1,"15-0017,29247247.0,Departmental Violation",False,False,False,male,black,65.0
58,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",2015-01-13,67566186.0,white,male,4601 S.W.A.T.,Departmental Violation,1,"15-0017,67566186.0,Departmental Violation",False,False,False,male,black,65.0
59,15-0018,2015-01-20,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-15 at 4:30pm, an officer assigned to Criminal Intelligence, damaged their property in the confines of the 25th District.",2015-01-16,94374544.0,latino,male,9828 Criminal Intell Uni,Departmental Violation,1,"15-0018,94374544.0,Departmental Violation",False,False,False,male,latino,44.0
60,15-0019,2015-01-20,1200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-15 at 7:00pm, an unknown 12th District officers illegally entered their property.",2015-01-16,61461564.0,white,male,1200 12TH DISTRICT,Departmental Violation,2,"15-0019,61461564.0,Departmental Violation",True,False,True,female,black,34.0
62,15-0020,2015-01-21,600, PHYSICAL ABUSE,"According to the complainant, on 1-20-15 at 2:55am, they were physically abused by an officer from the 6th District.",2015-01-20,55171205.0,white,male,0600 06TH DISTRICT,Physical Abuse,1,"15-0020,55171205.0,Physical Abuse",False,False,False,male,black,39.0
63,15-0021,2015-01-23,100, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-17-15 at 10:25am, they were they were falsely issued a ticket by an officer from the 1st District.",2015-01-17,83060857.0,black,female,0100 01ST DISTRICT,No C.A.P. Investigation,1,"15-0021,83060857.0,No C.A.P. Investigation",False,False,False,male,black,56.0
64,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,43667661.0,latino,male,3500 35th District,Lack of Service,1,"15-0022,43667661.0,Lack of Service",False,False,False,female,,25.0
64,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,43667661.0,latino,male,3500 35th District,Lack of Service,1,"15-0022,43667661.0,Lack of Service",False,False,False,male,,25.0
65,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,2,"15-0022,35389978.0,Departmental Violation",True,False,False,female,,25.0
65,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,2,"15-0022,35389978.0,Departmental Violation",True,False,False,male,,25.0
66,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,43667661.0,latino,male,3500 35th District,Departmental Violation,2,"15-0022,43667661.0,Departmental Violation",True,True,True,female,,25.0
66,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,43667661.0,latino,male,3500 35th District,Departmental Violation,2,"15-0022,43667661.0,Departmental Violation",True,True,True,male,,25.0
70,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,43667661.0,latino,male,3500 35th District,Unprofessional Conduct,1,"15-0022,43667661.0,Unprofessional Conduct",False,False,False,female,,25.0
70,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,43667661.0,latino,male,3500 35th District,Unprofessional Conduct,1,"15-0022,43667661.0,Unprofessional Conduct",False,False,False,male,,25.0
72,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,38794881.0,white,female,3500 35TH DISTRICT,Lack of Service,1,"15-0022,38794881.0,Lack of Service",False,False,False,female,,25.0
72,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,38794881.0,white,female,3500 35TH DISTRICT,Lack of Service,1,"15-0022,38794881.0,Lack of Service",False,False,False,male,,25.0
73,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,38794881.0,white,female,3500 35TH DISTRICT,Verbal Abuse,1,"15-0022,38794881.0,Verbal Abuse",False,False,False,female,,25.0
73,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,38794881.0,white,female,3500 35TH DISTRICT,Verbal Abuse,1,"15-0022,38794881.0,Verbal Abuse",False,False,False,male,,25.0
74,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,38794881.0,white,female,3500 35TH DISTRICT,Departmental Violation,1,"15-0022,38794881.0,Departmental Violation",False,False,False,female,,25.0
74,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,38794881.0,white,female,3500 35TH DISTRICT,Departmental Violation,1,"15-0022,38794881.0,Departmental Violation",False,False,False,male,,25.0
75,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,35389978.0,white,male,3500 35TH DISTRICT,Lack of Service,1,"15-0022,35389978.0,Lack of Service",False,False,False,female,,25.0
75,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,35389978.0,white,male,3500 35TH DISTRICT,Lack of Service,1,"15-0022,35389978.0,Lack of Service",False,False,False,male,,25.0
77,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,22798272.0,black,male,3500 35TH DISTRICT,Unprofessional Conduct,1,"15-0022,22798272.0,Unprofessional Conduct",False,False,False,female,,25.0
77,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",2015-01-08,22798272.0,black,male,3500 35TH DISTRICT,Unprofessional Conduct,1,"15-0022,22798272.0,Unprofessional Conduct",False,False,False,male,,25.0
82,15-0023,2015-01-21,3900, PHYSICAL ABUSE,"According to the complainant, on 1-17-15 at 7:30pm, they were threatened and verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of the 39th District.",2015-01-17,12140848.0,latino,male,5300 HIGHWAY PATROL,Verbal Abuse,1,"15-0023,12140848.0,Verbal Abuse",False,False,False,male,black,50.0
83,15-0023,2015-01-21,3900, PHYSICAL ABUSE,"According to the complainant, on 1-17-15 at 7:30pm, they were threatened and verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of the 39th District.",2015-01-17,12140848.0,latino,male,5300 HIGHWAY PATROL,Criminal Allegation,1,"15-0023,12140848.0,Criminal Allegation",False,False,False,male,black,50.0
84,15-0024,2015-01-23,2200, PHYSICAL ABUSE,"According to the complainant, on 6-25-14 at 6:30pm, they were physically abused and falsely arrested by a sergeant and officer from the 25th District.",2014-06-25,76921388.0,black,male,2500 25TH DISTRICT,Physical Abuse,1,"15-0024,76921388.0,Physical Abuse",False,False,False,male,black,49.0
85,15-0024,2015-01-23,2200, PHYSICAL ABUSE,"According to the complainant, on 6-25-14 at 6:30pm, they were physically abused and falsely arrested by a sergeant and officer from the 25th District.",2014-06-25,36368791.0,white,male,2500 25TH DISTRICT,Physical Abuse,1,"15-0024,36368791.0,Physical Abuse",False,False,False,male,black,49.0
86,15-0024,2015-01-23,2200, PHYSICAL ABUSE,"According to the complainant, on 6-25-14 at 6:30pm, they were physically abused and falsely arrested by a sergeant and officer from the 25th District.",2014-06-25,36368791.0,white,male,2500 25TH DISTRICT,Departmental Violation,1,"15-0024,36368791.0,Departmental Violation",False,False,False,male,black,49.0
87,15-0024,2015-01-23,2200, PHYSICAL ABUSE,"According to the complainant, on 6-25-14 at 6:30pm, they were physically abused and falsely arrested by a sergeant and officer from the 25th District.",2014-06-25,76921388.0,black,male,2500 25TH DISTRICT,Departmental Violation,1,"15-0024,76921388.0,Departmental Violation",False,False,False,male,black,49.0
88,15-0024,2015-01-23,2200, PHYSICAL ABUSE,"According to the complainant, on 6-25-14 at 6:30pm, they were physically abused and falsely arrested by a sergeant and officer from the 25th District.",2014-06-25,76921388.0,black,male,2500 25TH DISTRICT,Verbal Abuse,1,"15-0024,76921388.0,Verbal Abuse",False,False,False,male,black,49.0
90,15-0025,2015-01-23,3500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-27-14 at 8:00pm, they were are missing money and property after their arrest by 35th District officers.",2014-06-27,69856492.0,white,male,3500 35TH DISTRICT,No C.A.P. Investigation,1,"15-0025,69856492.0,No C.A.P. Investigation",False,False,False,male,black,33.0
91,15-0025,2015-01-23,3500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-27-14 at 8:00pm, they were are missing money and property after their arrest by 35th District officers.",2014-06-27,41700937.0,white,male,3500 35TH DISTRICT,No C.A.P. Investigation,1,"15-0025,41700937.0,No C.A.P. Investigation",False,False,False,male,black,33.0
92,15-0026,2015-01-23,2500, PHYSICAL ABUSE,"According to the complainant, on 8-15-13 at 8:00pm, they were physically abused and falsely arrested by an officer and sergeant assigned to Narcotics Strike Force. This incident occurred in the confines of the 25th District.",2013-08-15,81924287.0,latino,male,7402 NARCOTICS STRIKE FO,Departmental Violation,1,"15-0026,81924287.0,Departmental Violation",False,False,False,male,black,49.0
93,15-0026,2015-01-23,2500, PHYSICAL ABUSE,"According to the complainant, on 8-15-13 at 8:00pm, they were physically abused and falsely arrested by an officer and sergeant assigned to Narcotics Strike Force. This incident occurred in the confines of the 25th District.",2013-08-15,81924287.0,latino,male,7402 NARCOTICS STRIKE FO,Physical Abuse,1,"15-0026,81924287.0,Physical Abuse",False,False,False,male,black,49.0
95,15-0026,2015-01-23,2500, PHYSICAL ABUSE,"According to the complainant, on 8-15-13 at 8:00pm, they were physically abused and falsely arrested by an officer and sergeant assigned to Narcotics Strike Force. This incident occurred in the confines of the 25th District.",2013-08-15,38055536.0,white,female,2500 25TH DISTRICT,Physical Abuse,1,"15-0026,38055536.0,Physical Abuse",False,False,False,male,black,49.0
96,15-0026,2015-01-23,2500, PHYSICAL ABUSE,"According to the complainant, on 8-15-13 at 8:00pm, they were physically abused and falsely arrested by an officer and sergeant assigned to Narcotics Strike Force. This incident occurred in the confines of the 25th District.",2013-08-15,86817666.0,white,female,7400 NARCOTICS INTEL / I,Departmental Violation,1,"15-0026,86817666.0,Departmental Violation",False,False,False,male,black,49.0
97,15-0027,2015-01-26,900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-10-14 at 10:06am, they were falsely arrested by unidentified 9th District officers who mishandled their personal property.",2014-11-10,77363588.0,white,male,0900 09TH DISTRICT,Departmental Violation,1,"15-0027,77363588.0,Departmental Violation",False,False,False,male,black,50.0
99,15-0027,2015-01-26,900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-10-14 at 10:06am, they were falsely arrested by unidentified 9th District officers who mishandled their personal property.",2014-11-10,88349229.0,white,male,0900 09TH DISTRICT,Departmental Violation,1,"15-0027,88349229.0,Departmental Violation",False,False,False,male,black,50.0
101,15-0028,2015-01-26,2500, PHYSICAL ABUSE,"According to the complainant, on 5-8-14 at 12:30pm, while at their residence, a minor was physically abused and arrested by 35th District officers.",2014-05-08,81329137.0,white,male,3500 35TH DISTRICT,Physical Abuse,1,"15-0028,81329137.0,Physical Abuse",False,False,False,female,,
101,15-0028,2015-01-26,2500, PHYSICAL ABUSE,"According to the complainant, on 5-8-14 at 12:30pm, while at their residence, a minor was physically abused and arrested by 35th District officers.",2014-05-08,81329137.0,white,male,3500 35TH DISTRICT,Physical Abuse,1,"15-0028,81329137.0,Physical Abuse",False,False,False,male,black,20.0
