,complaint_id,date_received,district_occurrence,general_cap_classification,summary,complainant_sex,complainant_race,complainant_age,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
49,15-0016,2015-01-20,3500, VERBAL ABUSE,"According to the complainant, on 1-13-15, around 8:00pm, they were verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of the 35th District.",male,black,25.0,49873735.0,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
50,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,55577699.0,black,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
51,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,78089029.0,latino,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
52,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,19325563.0,asian,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
53,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,84672586.0,black,male,4601 S.W.A.T.,Departmental Violation,Sustained Finding,Training/Counseling
54,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,52845193.0,white,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
55,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,29247247.0,white,female,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
56,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,84672586.0,black,male,4601 S.W.A.T.,Departmental Violation,Sustained Finding,Training/Counseling
57,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,84672586.0,black,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
58,15-0017,2015-01-20,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-13-15 at 6:00am, the complainant states that unidentified officer, assigned to S.W.A.T., damaged their personal property. This incident occurred in the confines of the 19th District.",male,black,65.0,67566186.0,white,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
59,15-0018,2015-01-20,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-15 at 4:30pm, an officer assigned to Criminal Intelligence, damaged their property in the confines of the 25th District.",male,latino,44.0,94374544.0,latino,male,9828 Criminal Intell Uni,Departmental Violation,No Sustained Findings,Not Applicable
60,15-0019,2015-01-20,1200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-15 at 7:00pm, an unknown 12th District officers illegally entered their property.",female,black,34.0,61461564.0,white,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
61,15-0019,2015-01-20,1200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-16-15 at 7:00pm, an unknown 12th District officers illegally entered their property.",female,black,34.0,61461564.0,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
62,15-0020,2015-01-21,600, PHYSICAL ABUSE,"According to the complainant, on 1-20-15 at 2:55am, they were physically abused by an officer from the 6th District.",male,black,39.0,55171205.0,white,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
63,15-0021,2015-01-23,100, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-17-15 at 10:25am, they were they were falsely issued a ticket by an officer from the 1st District.",male,black,56.0,83060857.0,black,female,0100 01ST DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
64,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Lack of Service,No Sustained Findings,Not Applicable
65,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
66,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
67,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
68,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
69,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
70,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Unprofessional Conduct,No Sustained Findings,Not Applicable
71,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,Sustained Finding,Guilty Finding
72,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,38794881.0,white,female,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
73,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,38794881.0,white,female,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
74,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,38794881.0,white,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
75,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
76,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
77,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,22798272.0,black,male,3500 35TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
78,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
79,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
80,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
81,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",female,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
82,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,43667661.0,latino,male,3500 35th District,Lack of Service,No Sustained Findings,Not Applicable
83,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
84,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
85,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
86,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
87,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
88,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,43667661.0,latino,male,3500 35th District,Unprofessional Conduct,No Sustained Findings,Not Applicable
89,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,43667661.0,latino,male,3500 35th District,Departmental Violation,Sustained Finding,Guilty Finding
90,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,38794881.0,white,female,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
91,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,38794881.0,white,female,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
92,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,38794881.0,white,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
93,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
94,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,35389978.0,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
95,15-0022,2015-01-22,3500, DEPARTMENTAL VIOLATIONS,"According to the complainants, on 1-8-15 at 6:30pm, officers from the 35th District did not follow proper police procedure.",male,,25.0,22798272.0,black,male,3500 35TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
